United-States,北美洲,美洲,*
Cuba,北美洲,美洲,*
Jamaica,北美洲,美洲,*
India,南极洲,南极洲,*
Mexico,北美洲,美洲,*
Puerto-Rico,北美洲,美洲,*
Honduras,北美洲,美洲,*
England,欧洲,亚欧非洲,*
Canada,北美洲,美洲,*
Germany,欧洲,亚欧非洲,*
Iran,亚洲,亚欧非洲,*
Philippines,亚洲,亚欧非洲,*
Poland,欧洲,亚欧非洲,*
Columbia,南美洲,美洲,*
Cambodia,亚洲,亚欧非洲,*
Thailand,亚洲,亚欧非洲,*
Ecuador,南美洲,美洲,*
Laos,亚洲,亚欧非洲,*
Taiwan,亚洲,亚欧非洲,*
Haiti,北美洲,美洲,*
Portugal,欧洲,亚欧非洲,*
Dominican-Republic,北美洲,美洲,*
El-Salvador,北美洲,美洲,*
France,欧洲,亚欧非洲,*
Guatemala,北美洲,美洲,*
Italy,欧洲,亚欧非洲,*
China,亚洲,亚欧非洲,*
South,大洋洲,大洋洲,*
Japan,亚洲,亚欧非洲,*
Yugoslavia,欧洲,亚欧非洲,*
Peru,南美洲,美洲,*
Outlying-US(Guam-USVI-etc),北美洲,美洲,*
Scotland,欧洲,亚欧非洲,*
Trinadad&Tobago,南美洲,美洲,*
Greece,欧洲,亚欧非洲,*
Nicaragua,北美洲,美洲,*
Vietnam,亚洲,亚欧非洲,*
Hong,亚洲,亚欧非洲,*
Ireland,欧洲,亚欧非洲,*
Hungary,欧洲,亚欧非洲,*
Holand-Netherlands,欧洲,亚欧非洲,*